c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,sim_c1stim,sim_c2stim,sim_c1c2stim,label
sweat,shirt,sweatshirt,1,12.2,-0.011308278,0.246067977,0.252667635679245,0.7002029418945312,0.5975435376167297,1
night,shirt,nightshirt,1,12.2,-0.011308278,0.246067977,0.11804360151290894,0.4080481231212616,0.3812866508960724,1
sweat,shirts,sweatshirts,1,12.2,-0.011308278,0.246067977,0.19677193462848663,0.7042845487594604,0.5745533108711243,1
night,shirts,nightshirts,1,12.2,-0.011308278,0.246067977,0.09255751222372055,0.4425826966762543,0.39585059881210327,1
after,shock,aftershock,2,12.5,0.359919785,0.43043049,0.05425884947180748,0.22526949644088745,0.1985139548778534,1
after,shocks,aftershocks,2,12.5,0.359919785,0.43043049,0.01675490289926529,0.3232715129852295,0.28414785861968994,1
horse,shoe,horseshoe,2,13.4,1.573218026,1.990441865,0.34812864661216736,0.2908421456813812,0.4099592864513397,1
snow,shoe,snowshoe,2,10.0,-0.310351733,-0.312624323,0.40029793977737427,0.3250355124473572,0.482760488986969,1
horse,shoes,horseshoes,2,13.4,1.573218026,1.990441865,0.2722648084163666,0.2820797860622406,0.36764779686927795,1
snow,shoes,snowshoes,2,10.0,-0.310351733,-0.312624323,0.3729173541069031,0.4580523371696472,0.5470207333564758,1
crap,shoot,crapshoot,2,10.2,-0.273012797,-0.30001581899999996,0.31263014674186707,0.10004989802837372,0.2693977653980255,1
trap,shooter,trapshooter,2,10.2,-0.273012797,-0.30001581899999996,0.1752322018146515,0.32944950461387634,0.3367316424846649,1
sharp,shooter,sharpshooter,2,10.2,-0.273012797,-0.30001581899999996,0.09176512807607651,0.49716001749038696,0.4380384385585785,1
sharp,shooters,sharpshooters,2,10.2,-0.273012797,-0.30001581899999996,0.10799645632505417,0.47571736574172974,0.41912510991096497,1
trap,shooting,trapshooting,2,10.2,-0.273012797,-0.30001581899999996,0.19002407789230347,0.3292054235935211,0.34059998393058777,1
barber,shop,barbershop,2,12.5,0.359919785,0.43043049,0.6738196611404419,0.5048389434814453,0.7035706043243408,1
book,shop,bookshop,2,10.5,-0.17075538899999998,-0.19607315600000003,0.5110729336738586,0.515759289264679,0.673720121383667,1
pawn,shop,pawnshop,2,12.4,0.097973356,0.118726289,0.36874398589134216,0.47578108310699463,0.5458577275276184,1
bake,shop,bakeshop,2,13.4,1.573218026,1.990441865,0.2772214710712433,0.4181687533855438,0.43382546305656433,1
toy,shop,toyshop,2,10.7,-0.09635121,0.01442177,0.5322266221046448,0.5012480616569519,0.6565083861351013,1
work,shop,workshop,2,10.5,-0.17075538899999998,-0.19607315600000003,0.19847121834754944,0.21418674290180206,0.2668307423591614,1
sweat,shop,sweatshop,2,12.2,-0.011308278,0.246067977,0.22299249470233917,0.24197179079055786,0.3137587010860443,1
tea,shop,teashop,2,13.0,1.306484599,1.4327814269999999,0.37086474895477295,0.4930872619152069,0.56917405128479,1
