c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
shoe,horn,shoehorn,1,9.36,-0.331962971,-0.36590303,0
green,horns,greenhorns,1,9.07,-0.368878123,-0.395849129,0
prong,horns,pronghorns,1,11.7,0.641415035,0.585360488,0
clothes,horse,clotheshorse,1,12,0.657359922,0.614352135,0
hobby,horse,hobbyhorse,1,6.24,-0.376221953,-0.400781821,0
dray,horse,drayhorse,1,6.24,-0.376221953,-0.400781821,0
cock,horse,cockhorse,1,7.68,-0.375969449,-0.401314414,0
saw,horse,sawhorse,1,12,1.513752247,0.756226806,0
stud,horse,studhorse,1,7.55,-0.374092437,-0.398919179,0
hobby,horses,hobbyhorses,1,6.24,-0.376221953,-0.400781821,0
clothes,horses,clotheshorses,1,12,0.657359922,0.614352135,0
saw,horses,sawhorses,1,12,1.513752247,0.756226806,0
boot,hose,boothose,2,14.2,8.036027096,7.83944487,0
panty,hose,pantyhose,1,6.24,-0.376221953,-0.400781821,0
boar,hound,boarhound,1,8.83,-0.354324661,-0.393256935,0
coon,hound,coonhound,1,9.07,-0.368878123,-0.395849129,0
blood,hound,bloodhound,1,7.55,-0.374092437,-0.398919179,0
elk,hound,elkhound,1,7.68,-0.375969449,-0.401314414,0
smooth,hound,smoothhound,1,6.21,-0.372543858,-0.401160968,0
otter,hound,otterhound,1,8.83,-0.354324661,-0.393256935,0
stag,hound,staghound,1,11.7,0.641415035,0.585360488,0
sleuth,hound,sleuthhound,1,6.21,-0.372543858,-0.401160968,0
porter,house,porterhouse,1,8.83,-0.354324661,-0.393256935,0
green,house,greenhouse,1,9.07,-0.368878123,-0.395849129,0
flop,house,flophouse,1,10.4,-0.268312321,-0.275385567,0
nut,house,nuthouse,1,14.2,8.036027096,7.83944487,0
poor,house,poorhouse,1,8.83,-0.354324661,-0.393256935,0
bawdy,house,bawdyhouse,1,6.24,-0.376221953,-0.400781821,0
pot,house,pothouse,1,14.2,8.036027096,7.83944487,0
counting,house,countinghouse,1,11.7,0.641415035,0.585360488,0
doss,house,dosshouse,1,12,0.657359922,0.614352135,0
round,house,roundhouse,1,7.55,-0.374092437,-0.398919179,0
chapter,house,chapterhouse,1,8.83,-0.354324661,-0.393256935,0
doss,houses,dosshouses,1,12,0.657359922,0.614352135,0
porter,houses,porterhouses,1,8.83,-0.354324661,-0.393256935,0
round,houses,roundhouses,1,7.55,-0.374092437,-0.398919179,0
flop,houses,flophouses,1,10.4,-0.268312321,-0.275385567,0
green,houses,greenhouses,1,9.07,-0.368878123,-0.395849129,0
pot,hunter,pothunter,1,14.2,8.036027096,7.83944487,0
grid,iron,gridiron,1,12.2,0.497986974,0.210393561,0
mid,iron,midiron,1,12.2,0.497986974,0.210393561,0
cross,jack,crossjack,1,4.16,-0.378256119,-0.401429498,0
apple,jack,applejack,1,7.58,-0.375109519,-0.395965358,0
supple,jack,supplejack,1,7.58,-0.375109519,-0.395965358,0
cracker,jack,crackerjack,1,5.58,-0.377482712,-0.401375792,0
steeple,jack,steeplejack,1,7.58,-0.375109519,-0.395965358,0
natter,jack,natterjack,1,5.58,-0.377482712,-0.401375792,0
cheap,jack,cheapjack,1,4.91,-0.378377957,-0.401470836,0
flap,jack,flapjack,1,4.91,-0.378377957,-0.401470836,0
skip,jack,skipjack,1,4.91,-0.378377957,-0.401470836,0
lumber,jack,lumberjack,1,5.58,-0.377482712,-0.401375792,0
black,jack,blackjack,1,3.85,-0.377996551,-0.401422283,0
boot,jack,bootjack,1,4.17,-0.378326749,-0.40147118,0
amber,jack,amberjack,1,5.58,-0.377482712,-0.401375792,0
blue,jacket,bluejacket,1,7.58,-0.375109519,-0.395965358,0
strait,jacket,straitjacket,1,4.17,-0.378326749,-0.40147118,0
strait,jackets,straitjackets,1,4.17,-0.378326749,-0.40147118,0
black,jacks,blackjacks,1,3.85,-0.377996551,-0.401422283,0
flap,jacks,flapjacks,1,4.91,-0.378377957,-0.401470836,0
cracker,jacks,crackerjacks,1,5.58,-0.377482712,-0.401375792,0
